,氧化钠(Na2O),氧化镁(MgO),氧化铝(Al2O3),氧化铁(Fe2O3),氧化铜(CuO),氧化铅(PbO),氧化钡(BaO),五氧化二磷(P2O5),氧化锶(SrO),氧化锡(SnO2),二氧化硫(SO2),主要成分
19,2.12,0.85,0.0,1.04,1.09,0.19,0.0,0.18,0.0,0.0,0.0,66.42
17,3.21,1.02,3.15,1.04,1.29,0.19,0.0,0.26,0.0,0.0,0.0,69.31
7,0.0,1.73,10.05,6.04,2.18,0.35,0.97,4.5,0.12,0.0,0.0,72.9
6,0.0,1.98,11.15,2.39,2.51,0.2,1.38,4.18,0.11,0.0,0.0,75.02000000000001
5,0.0,1.77,7.5,2.62,3.27,0.0,0.0,0.94,0.06,0.0,0.47,79.88
3,0.0,1.11,5.5,2.16,5.09,1.41,2.86,0.7,0.1,0.0,0.0,79.95
15,2.86,0.0,6.16,2.88,4.73,0.0,0.0,1.27,0.0,0.0,0.0,80.24
23,0.0,1.22,6.19,2.37,3.28,1.0,1.97,1.1,0.0,0.0,0.0,81.39
4,0.0,1.56,6.44,2.06,2.18,0.0,0.0,0.79,0.0,0.0,0.36,82.67
16,3.38,0.66,9.23,0.5,0.47,1.62,0.0,0.16,0.0,0.0,0.0,82.98
0,0.0,0.87,3.93,1.74,3.87,0.0,0.0,1.17,0.0,0.0,0.39,85.63999999999999
18,2.1,0.52,6.18,0.42,1.07,0.11,0.0,0.0,0.04,0.0,0.0,87.97
20,0.0,1.53,3.05,0.0,0.0,0.0,0.0,1.36,0.07,2.36,0.0,88.88
30,0.0,0.54,2.51,0.2,1.54,0.0,0.0,0.36,0.0,0.0,0.0,93.66
8,0.0,0.0,1.98,0.17,3.24,0.0,0.0,0.61,0.0,0.0,0.0,93.69999999999999
2,0.0,0.0,4.06,0.0,0.78,0.25,0.0,0.66,0.0,0.0,0.0,94.25
24,0.0,0.64,3.5,0.35,0.55,0.0,0.0,0.21,0.0,0.0,0.0,94.74999999999999
14,0.0,0.0,1.46,0.29,1.65,0.0,0.0,0.15,0.0,0.0,0.0,96.02000000000001
11,0.0,0.0,1.32,0.32,1.55,0.0,0.0,0.35,0.0,0.0,0.0,96.23
12,0.0,0.0,0.81,0.26,0.84,0.0,0.0,0.0,0.0,0.0,0.0,97.89999999999999
